catalog_year,type,proper_name,file_name,degree_major,concentration,url
2022-2023,major,"Mechanical Engineering, Energy Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Energy Engineering Concentration",BSME Mechanical Engineering,Energy Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8378
2022-2023,major,"Mechanical Engineering, Motorsports Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Motorsports Engineering Concentration",BSME Mechanical Engineering,Motorsports Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8379
2022-2023,major,"Physics and Mechanical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Mechanical Engineering,BS Dual Degree Physics and Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8482
2022-2023,major,"Systems Engineering, B.S.S.E. ",BSSE Systems Engineering,BSSE Systems Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8380
2022-2023,major,"Systems Engineering, Energy Systems Concentration, B.S.S.E. ","BSSE Systems Engineering, Energy Systems Concentration",BSSE Systems Engineering,Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8747
2022-2023,major,"Civil Engineering Technology, B.S.E.T. ",BSET Civil Engineering Technology,BSET Civil Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8372
2022-2023,major,"Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration, B.S.E.T. ","BSET Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration",BSET Civil Engineering Technology,Applied Energy and Sustainable Systems,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8540
2022-2023,major,"Electrical Engineering Technology, B.S.E.T. ",BSET Electrical Engineering Technology,BSET Electrical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8373
2022-2023,major,"Electrical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Electrical Engineering Technology, Applied Energy Concentration",BSET Electrical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8541
2022-2023,major,"Electrical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Electrical Engineering Technology, Electromechanical Systems Concentration",BSET Electrical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8796
2022-2023,major,"Fire and Safety Engineering Technology, Fire Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Fire Safety Concentration",BSET Fire and Safety Engineering Technology,Fire Safety,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8375
2022-2023,major,"Fire and Safety Engineering Technology, Occupational Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Occupational Safety Concentration",BSET Fire and Safety Engineering Technology,Occupational Safety,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8763
2022-2023,major,"Mechanical Engineering Technology, B.S.E.T. ",BSET Mechanical Engineering Technology,BSET Mechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8376
2022-2023,major,"Mechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Applied Energy Concentration",BSET Mechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8542
2022-2023,major,"Mechanical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Electromechanical Systems Concentration",BSET Mechanical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8790
2022-2023,major,"Construction Management, B.S.C.M. ",BSCM Construction Management,BSCM Construction Management,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8371
2022-2023,minor,"Electrical Engineering, Minor ",Minor Electrical Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8369
2022-2023,minor,"Computer Engineering, Minor ",Minor Computer Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8370
2022-2023,graduate_early_entry,"Civil Engineering, M.S., Early Entry ",MS Civil Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8497
2022-2023,graduate_early_entry,"Computer Engineering, M.S., Early Entry ",MS Computer Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8811
2022-2023,graduate_early_entry,"Electrical Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Electrical Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8498
2022-2023,graduate_early_entry,"Engineering Management, M.S., Early Entry ",MS Engineering Management Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8501
2022-2023,graduate_early_entry,"Fire Protection and Safety Management, M.S., Early Entry ",MS Fire Protection and Safety Management Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8716
2022-2023,graduate_early_entry,"Mechanical Engineering, M.S., Early Entry ",MS Mechanical Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8500
2022-2023,graduate_early_entry,"Optical Science and Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Optical Science and Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8581
2022-2023,graduate_early_entry,"Applied Energy and Electromechanical Systems, M.S., Early Entry ",MS Applied Energy and Electromechanical Systems Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8579
2022-2023,college_intro,College of Engineering,College of Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8608
2022-2023,dept,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=32&ent_oid=1694
2022-2023,dept,Department of Eletrical and Computer Engineering,Department of Eletrical and Computer Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=32&ent_oid=1695
2022-2023,dept,Department of Engineering Technology and Construction Management,Department of Engineering Technology and Construction Management,,,https://catalog.charlotte.edu/preview_entity.php?catoid=32&ent_oid=1696
2022-2023,dept,Department of Mechanical Engineering and Engineering Science,Department of Mechanical Engineering and Engineering Science,,,https://catalog.charlotte.edu/preview_entity.php?catoid=32&ent_oid=1697
2022-2023,dept,Department of Systems Engineering and Engineering Management,Department of Systems Engineering and Engineering Management,,,https://catalog.charlotte.edu/preview_entity.php?catoid=32&ent_oid=1698
2022-2023,honors,"Engineering, Honors Program",Engineering Honors Program,,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8537
2023-2024,major,"Civil Engineering, B.S.C.E. ",BSCE Civil Engineering,BSCE Civil Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9920
2023-2024,major,"Civil Engineering, Energy Infrastructure Concentration, B.S.C.E.  ","BSCE Civil Engineering, Energy Infrastructure Concentration",BSCE Civil Engineering,Energy Infrastructure,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9921
2023-2024,major,"Civil Engineering, Land Development Engineering Concentration, B.S.C.E.  ","BSCE Civil Engineering, Land Development Engineering Concentration",BSCE Civil Engineering,Land Development Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10088
2023-2024,major,"Computer Engineering, B.S.CP.E. ",BSCPE Computer Engineering,BSCPE Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9924
2023-2024,major,"Computer Engineering, Machine Learning Concentration, B.S.CP.E.  ","BSCPE Computer Engineering, Machine Learning Concentration",BSCPE Computer Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10353
2023-2024,major,"Physics and Computer Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Computer Engineering,BS Dual Degree Physics and Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10033
2023-2024,major,"Electrical Engineering, B.S.E.E. ",BSEE Electrical Engineering,BSEE Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9922
2023-2024,major,"Electrical Engineering, Machine Learning Concentration, B.S.E.E. ","BSEE Electrical Engineering, Machine Learning Concentration",BSEE Electrical Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10354
2023-2024,major,"Electrical Engineering, Power and Energy Systems Concentration, B.S.E.E. ","BSEE Electrical Engineering, Power and Energy Systems Concentration",BSEE Electrical Engineering,Power and Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9923
2023-2024,major,"Environmental Engineering, B.S. ",BS Environmental Engineering,BS Environmental Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10650
2023-2024,major,"Physics and Electrical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Electrical Engineering,BS Dual Degree Physics and Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10032
2023-2024,major,"Mechanical Engineering, B.S.M.E. ",BSME Mechanical Engineering,BSME Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9932
2023-2024,major,"Mechanical Engineering, Biomedical Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Biomedical Engineering Concentration",BSME Mechanical Engineering,Biomedical Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10061
2023-2024,major,"Mechanical Engineering, Energy Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Energy Engineering Concentration",BSME Mechanical Engineering,Energy Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9933
2023-2024,major,"Mechanical Engineering, Motorsports Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Motorsports Engineering Concentration",BSME Mechanical Engineering,Motorsports Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9934
2023-2024,major,"Mechanical Engineering, Precision Engineering and Metrology Concentration, B.S.M.E. ","BSME Mechanical Engineering, Precision Engineering and Metrology Concentration",BSME Mechanical Engineering,Precision Engineering and Metrology,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10639
2023-2024,major,"Physics and Mechanical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Mechanical Engineering,BS Dual Degree Physics and Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10034
2023-2024,major,"Systems Engineering, B.S.S.E. ",BSSE Systems Engineering,BSSE Systems Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9935
2023-2024,major,"Systems Engineering, Energy Systems Concentration, B.S.S.E. ","BSSE Systems Engineering, Energy Systems Concentration",BSSE Systems Engineering,Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10293
2023-2024,major,"Civil Engineering Technology, B.S.E.T. ",BSET Civil Engineering Technology,BSET Civil Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9928
2023-2024,major,"Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration, B.S.E.T. ","BSET Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration",BSET Civil Engineering Technology,Applied Energy and Sustainable Systems,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10092
2023-2024,major,"Electrical Engineering Technology, B.S.E.T. ",BSET Electrical Engineering Technology,BSET Electrical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9929
2023-2024,major,"Electrical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Electrical Engineering Technology, Applied Energy Concentration",BSET Electrical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10093
2023-2024,major,"Electrical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Electrical Engineering Technology, Electromechanical Systems Concentration",BSET Electrical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10342
2023-2024,major,"Fire and Safety Engineering Technology, Fire Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Fire Safety Concentration",BSET Fire and Safety Engineering Technology,Fire Safety,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9930
2023-2024,major,"Fire and Safety Engineering Technology, Occupational Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Occupational Safety Concentration",BSET Fire and Safety Engineering Technology,Occupational Safety,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10309
2023-2024,major,"Mechanical Engineering Technology, B.S.E.T. ",BSET Mechanical Engineering Technology,BSET Mechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9931
2023-2024,major,"Mechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Applied Energy Concentration",BSET Mechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10094
2023-2024,major,"Mechanical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Electromechanical Systems Concentration",BSET Mechanical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10336
2023-2024,major,"Construction Management, B.S.C.M. ",BSCM Construction Management,BSCM Construction Management,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9927
2023-2024,minor,"Electrical Engineering, Minor ",Minor Electrical Engineering,Minor,Electrical Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9925
2023-2024,minor,"Computer Engineering, Minor ",Minor Computer Engineering,Minor,Computer Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=9926
2023-2024,minor,"Mechanical Engineering, Minor",Minor Mechanical Engineering,Minor,Mechanical Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10637
2023-2024,graduate_early_entry,"Civil Engineering, M.S., Early Entry ",MS Civil Engineering Early Entry,MS Civil Engineering Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10049
2023-2024,graduate_early_entry,"Computer Engineering, M.S., Early Entry ",MS Computer Engineering Early Entry,MS Computer Engineering Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10356
2023-2024,graduate_early_entry,"Construction and Facilities Engineering, M.S., Early Entry ",MS Construction and Facilities Engineering Early Entry,MS Construction and Facilities Engineering Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10132
2023-2024,graduate_early_entry,"Electrical Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Electrical Engineering Early Entry,MS or PhD Electrical Engineering Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10050
2023-2024,graduate_early_entry,"Engineering Management, M.S., Early Entry ",MS Engineering Management Early Entry,MS Engineering Management Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10053
2023-2024,graduate_early_entry,"Fire Protection and Safety Management, M.S., Early Entry ",MS Fire Protection and Safety Management Early Entry,MS Fire Protection and Safety Management Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10265
2023-2024,graduate_early_entry,"Mechanical Engineering, M.S., Early Entry ",MS Mechanical Engineering Early Entry,MS Mechanical Engineering Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10052
2023-2024,graduate_early_entry,"Optical Science and Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Optical Science and Engineering Early Entry,MS or PhD Optical Science and Engineering Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10133
2023-2024,graduate_early_entry,"Applied Energy and Electromechanical Systems, M.S., Early Entry ",MS Applied Energy and Electromechanical Systems Early Entry,MS Applied Energy and Electromechanical Systems Early Entry,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10131
2023-2024,college_intro,College of Engineering,College of Engineering,College of Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10160
2023-2024,dept,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering,,https://catalog.charlotte.edu/preview_entity.php?catoid=36&ent_oid=2078
2023-2024,dept,Department of Eletrical and Computer Engineering,Department of Eletrical and Computer Engineering,Department of Eletrical and Computer Engineering,,https://catalog.charlotte.edu/preview_entity.php?catoid=36&ent_oid=2079
2023-2024,dept,Department of Engineering Technology and Construction Management,Department of Engineering Technology and Construction Management,Department of Engineering Technology and Construction Management,,https://catalog.charlotte.edu/preview_entity.php?catoid=36&ent_oid=2080
2023-2024,dept,Department of Mechanical Engineering and Engineering Science,Department of Mechanical Engineering and Engineering Science,Department of Mechanical Engineering and Engineering Science,,https://catalog.charlotte.edu/preview_entity.php?catoid=36&ent_oid=2081
2023-2024,dept,Department of Systems Engineering and Engineering Management,Department of Indistrial and Systems Engineering,Department of Indistrial and Systems Engineering,,https://catalog.charlotte.edu/preview_entity.php?catoid=36&ent_oid=2082
2023-2024,honors,"Engineering, Honors Program",Engineering Honors Program,Engineering Honors Program,,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10089
2024-2025,major,"Civil Engineering, B.S.C.E. ",BSCE Civil Engineering,BSCE Civil Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10707
2024-2025,major,"Civil Engineering, Energy Infrastructure Concentration, B.S.C.E.  ","BSCE Civil Engineering, Energy Infrastructure Concentration",BSCE Civil Engineering,Energy Infrastructure,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10708
2024-2025,major,"Civil Engineering, Land Development Engineering Concentration, B.S.C.E.  ","BSCE Civil Engineering, Land Development Engineering Concentration",BSCE Civil Engineering,Land Development Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10870
2024-2025,major,"Computer Engineering, B.S.CP.E. ",BSCPE Computer Engineering,BSCPE Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10711
2024-2025,major,"Computer Engineering, Machine Learning Concentration, B.S.CP.E.  ","BSCPE Computer Engineering, Machine Learning Concentration",BSCPE Computer Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11131
2024-2025,major,"Physics and Computer Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Computer Engineering,BS Dual Degree Physics and Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10815
2024-2025,major,"Electrical Engineering, B.S.E.E. ",BSEE Electrical Engineering,BSEE Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10709
2024-2025,major,"Electrical Engineering, Machine Learning Concentration, B.S.E.E. ","BSEE Electrical Engineering, Machine Learning Concentration",BSEE Electrical Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11132
2024-2025,major,"Electrical Engineering, Power and Energy Systems Concentration, B.S.E.E. ","BSEE Electrical Engineering, Power and Energy Systems Concentration",BSEE Electrical Engineering,Power and Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10710
2024-2025,major,"Environmental Engineering, B.S. ",BS Environmental Engineering,BS Environmental Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11156
2024-2025,major,"Physics and Electrical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Electrical Engineering,BS Dual Degree Physics and Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10814
2024-2025,major,"Mechanical Engineering, B.S.M.E. ",BSME Mechanical Engineering,BSME Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10719
2024-2025,major,"Mechanical Engineering, Biomedical Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Biomedical Engineering Concentration",BSME Mechanical Engineering,Biomedical Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10843
2024-2025,major,"Mechanical Engineering, Energy Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Energy Engineering Concentration",BSME Mechanical Engineering,Energy Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10720
2024-2025,major,"Mechanical Engineering, Motorsports Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Motorsports Engineering Concentration",BSME Mechanical Engineering,Motorsports Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10721
2024-2025,major,"Mechanical Engineering, Precision Engineering and Metrology Concentration, B.S.M.E. ","BSME Mechanical Engineering, Precision Engineering and Metrology Concentration",BSME Mechanical Engineering,Precision Engineering and Metrology,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11152
2024-2025,major,"Physics and Mechanical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Mechanical Engineering,BS Dual Degree Physics and Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10816
2024-2025,major,"Systems Engineering, B.S.S.E. ",BSSE Systems Engineering,BSSE Systems Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10722
2024-2025,major,"Systems Engineering, Energy Systems Concentration, B.S.S.E. ","BSSE Systems Engineering, Energy Systems Concentration",BSSE Systems Engineering,Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11071
2024-2025,major,"Civil Engineering Technology, B.S.E.T. ",BSET Civil Engineering Technology,BSET Civil Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10715
2024-2025,major,"Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration, B.S.E.T. ","BSET Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration",BSET Civil Engineering Technology,Applied Energy and Sustainable Systems,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10874
2024-2025,major,"Electromechanical Engineering Technology, B.S.E.T. ",BSET Electromechanical Engineering Technology,BSET Electromechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10716
2024-2025,major,"Electromechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Electromechanical Engineering Technology, Applied Energy Concentration",BSET Electromechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10875
2024-2025,major,"Fire and Safety Engineering Technology, Fire Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Fire Safety Concentration",BSET Fire and Safety Engineering Technology,Fire Safety,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10717
2024-2025,major,"Fire and Safety Engineering Technology, Occupational Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Occupational Safety Concentration",BSET Fire and Safety Engineering Technology,Occupational Safety,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11087
2024-2025,major,"Mechanical Engineering Technology, B.S.E.T. ",BSET Mechanical Engineering Technology,BSET Mechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10718
2024-2025,major,"Mechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Applied Energy Concentration",BSET Mechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10876
2024-2025,major,"Mechanical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Electromechanical Systems Concentration",BSET Mechanical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11114
2024-2025,major,"Construction Management, B.S.C.M. ",BSCM Construction Management,BSCM Construction Management,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10714
2024-2025,minor,"Electrical Engineering, Minor ",Minor Electrical Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10712
2024-2025,minor,"Computer Engineering, Minor ",Minor Computer Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10713
2024-2025,minor,"Mechanical Engineering, Minor",Minor Mechanical Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11150
2024-2025,minor,"Occupational Safety, Minor",Minor Occupational Safety,,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11429
2024-2025,graduate_early_entry,"Civil Engineering, M.S., Early Entry ",MS Civil Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10831
2024-2025,graduate_early_entry,"Computer Engineering, M.S., Early Entry ",MS Computer Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11134
