catalog_year,type,proper_name,file_name,degree_major,concentration,url
2025-2026,major,"Physics and Mechanical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Mechanical Engineering,BS Dual Degree Physics and Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11595
2025-2026,major,"Systems Engineering, B.S.S.E. ",BSSE Systems Engineering,BSSE Systems Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11504
2025-2026,major,"Systems Engineering, Energy Systems Concentration, B.S.S.E. ","BSSE Systems Engineering, Energy Systems Concentration",BSSE Systems Engineering,Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11850
2025-2026,major,"Civil Engineering Technology, B.S.E.T. ",BSET Civil Engineering Technology,BSET Civil Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11497
2025-2026,major,"Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration, B.S.E.T. ","BSET Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration",BSET Civil Engineering Technology,Applied Energy and Sustainable Systems,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11653
2025-2026,major,"Electromechanical Engineering Technology, B.S.E.T. ",BSET Electromechanical Engineering Technology,BSET Electromechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11498
2025-2026,major,"Electromechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Electromechanical Engineering Technology, Applied Energy Concentration",BSET Electromechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11654
2025-2026,major,"Fire and Safety Engineering Technology, Fire Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Fire Safety Concentration",BSET Fire and Safety Engineering Technology,Fire Safety,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11499
2025-2026,major,"Fire and Safety Engineering Technology, Occupational Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Occupational Safety Concentration",BSET Fire and Safety Engineering Technology,Occupational Safety,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11865
2025-2026,major,"Mechanical Engineering Technology, B.S.E.T. ",BSET Mechanical Engineering Technology,BSET Mechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11500
2025-2026,major,"Mechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Applied Energy Concentration",BSET Mechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11655
2025-2026,major,"Mechanical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Electromechanical Systems Concentration",BSET Mechanical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11892
2025-2026,major,"Construction Management, B.S.C.M. ",BSCM Construction Management,BSCM Construction Management,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11496
2025-2026,minor,"Electrical Engineering, Minor ",Minor Electrical Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11494
2025-2026,minor,"Computer Engineering, Minor ",Minor Computer Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11495
2025-2026,minor,"Fire Science, Minor",Minor Fire Science,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=12729
2025-2026,minor,"Mechanical Engineering, Minor",Minor Mechanical Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11927
2025-2026,minor,"Occupational Safety, Minor",Minor Occupational Safety,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11943
2025-2026,graduate_early_entry,"Civil Engineering, M.S., Early Entry ",MS Civil Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11610
2025-2026,graduate_early_entry,"Computer Engineering, M.S., Early Entry ",MS Computer Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11911
2025-2026,graduate_early_entry,"Construction and Facilities Engineering, M.S., Early Entry ",MS Construction and Facilities Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11690
2025-2026,graduate_early_entry,"Electrical Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Electrical Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11611
2025-2026,graduate_early_entry,"Engineering Management, M.S., Early Entry ",MS Engineering Management Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11614
